payment_id,ticket_id,payment_method,status,payment_date
127,59885,Bank Transfer,,45338.03249
128,3562,Debit Card,Pending,45098.15525
129,285091,Mobile Money,,43987.20843
130,172282,PayPal,fa iled,44669.6837
131,189229,PayPal,Pending,45827.32446
132,115285,pa ypal,Pending,45093.99901
133,120625,BANK TRANSFER,Failed,45274.11906
134,248346,MO BILE MONEY,Pending,44433.17184
135,180299,Mobile Money,Pending,44561.18763
136,263994,credit card,FA ILED,45648.78984
137,168026,,Failed,44376.03551
138,78572,MOBILE MONEY,Pending,44801.28627
139,212348,Mobile Money,pending,44855.87659
140,297478,,failed,44613.03583
141,135799,MOBILE MONEY,Completed,45652.58966
142,16481,,Failed,44358.03558
143,53874,DEBIT CARD,Completed,44341.07049
144,152977,,PE NDING,44615.27402
145,274642,Mobile Money,failed,43975.38971
146,261987,,Completed,45769.8152
147,6263,PayPal,,44712.43902
148,280613,Credit Card,Completed,44846.74592
149,246512,,,44956.17012
150,167975,de bit card,Pending,45490.18175
151,59276,,,45616.19859
152,231032,PayPal,fa iled,44340.15256
153,39685,cr edit card,,44200.35319
154,116229,de bit card,Failed,45825.71517
155,253069,DEBIT CARD,Completed,45475.13907
156,64405,Mobile Money,Completed,44115.81283
157,90081,Bank Transfer,COMPLETED,44629.78914
158,250661,,Failed,45229.13745
159,145009,BA NK TRANSFER,COMPLETED,44223.38548
160,86349,Mobile Money,Pending,44883.38781
161,212535,Bank Transfer,failed,44566.02278
162,134879,,Completed,44348.36804
163,64255,debit card,Pending,45541.28711
164,22262,DEBIT CARD,Failed,44086.26638
165,76223,Credit Card,PE NDING,45997.85953
166,153733,Credit Card,,44501.29994
167,140056,debit card,,45843.29823
168,23411,Debit Card,Failed,45461.73384
169,156009,PA YPAL,Pending,45358.27214
170,230342,BANK TRANSFER,Completed,44302.77908
171,67996,MO BILE MONEY,completed,43854.52981
172,271179,Mobile Money,FA ILED,44309.16524
173,239583,PayPal,,44164.80175
174,61002,,Completed,45116.56165
175,170661,BANK TRANSFER,Pending,45905.81104
176,291637,DE BIT CARD,Completed,44408.69917
177,51272,Debit Card,,45116.56306
178,255456,cr edit card,Failed,45842.90928
179,27509,debit card,,44909.60229
180,186210,PayPal,fa iled,44587.15521
181,208492,Bank Transfer,completed,45815.76302
182,226383,Debit Card,pending,45373.96222
183,41260,Bank Transfer,fa iled,45714.94782
184,66468,pa ypal,Completed,45341.35974
185,265654,PA YPAL,Pending,45025.28622
186,177984,PayPal,Failed,45301.10315
187,8613,Credit Card,failed,45710.84697
188,285030,PayPal,Completed,45356.53982
189,122553,Mobile Money,Pending,44026.38731
190,214272,Mobile Money,fa iled,45990.19181
191,99851,,Completed,44505.95685
192,149862,BA NK TRANSFER,,44331.03383
193,234900,PAYPAL,Failed,45941.86185
194,269561,PayPal,Completed,45043.81111
195,44124,Debit Card,Completed,45249.41723
196,158790,Mobile Money,Completed,44944.25006
197,12264,Bank Transfer,Completed,45454.24184
198,184375,BA NK TRANSFER,Completed,45524.51986
199,6412,Mobile Money,Completed,45786.8104
200,239210,paypal,FA ILED,45202.58084
201,46979,Debit Card,Pending,45744.58081
202,33624,mobile money,Pending,44596.5557
203,36041,PayPal,Completed,44701.83375
204,278867,Debit Card,Pending,45770.85002
205,32091,Mobile Money,PE NDING,45789.2554
206,52291,Credit Card,,43925.47355
207,81508,Credit Card,Completed,43997.17234
208,124086,pa ypal,Failed,44872.83534
209,68914,PAYPAL,Failed,44670.91666
210,34476,DEBIT CARD,Pending,44832.84085
211,194076,Debit Card,,43846.31158
212,268054,Debit Card,Pending,44308.46492
213,66250,Credit Card,,44429.27412
214,154322,MO BILE MONEY,Completed,44336.34021
215,42909,Debit Card,,45189.62663
216,88071,,Completed,44620.43841
217,75358,PAYPAL,Failed,44391.78892
218,187808,,,44387.45344
219,150478,Debit Card,PENDING,45720.02585
220,155892,Mobile Money,Pending,45312.26857
221,110899,Bank Transfer,Pending,44672.59004
222,112291,,,45502.31783
223,41099,PayPal,,43910.70969
224,202217,Mobile Money,,44556.07777
225,107402,Debit Card,Pending,44119.0083
226,76773,debit card,,44762.35634
227,71077,PAYPAL,PENDING,44355.23411
228,40890,Credit Card,pending,44462.91669
229,92921,,pe nding,44911.04799
230,28239,BANK TRANSFER,Completed,45578.8879
231,66611,Mobile Money,,45055.03977
232,261241,Credit Card,Pending,44288.89858
233,252382,CREDIT CARD,Completed,45797.88414
234,90218,,co mpleted,45449.12212
235,278106,PayPal,Completed,44873.92325
236,248335,PayPal,Pending,44061.06301
237,44130,Credit Card,fa iled,43849.08623
238,203167,Debit Card,Pending,45301.73487
239,205588,Credit Card,PE NDING,44126.58592
240,33628,,Completed,44333.59642
241,110182,Mobile Money,,45362.72464
242,92329,BA NK TRANSFER,,45550.60679
243,299628,Mobile Money,co mpleted,44728.39902
244,130506,Credit Card,PENDING,45882.84473
245,84899,Debit Card,co mpleted,45478.81641
246,210028,Credit Card,PE NDING,45041.28638
247,263211,MOBILE MONEY,Completed,45893.87001
248,7547,BA NK TRANSFER,Pending,44945.45449
249,294990,Credit Card,COMPLETED,44045.71028
250,259399,mo bile money,failed,44210.31258
251,89075,Mobile Money,FA ILED,45109.98607
252,138307,Mobile Money,COMPLETED,44226.9742
253,25573,PayPal,failed,45198.99811
254,231080,,Failed,45586.69849
255,51007,,,45825.6443
256,157346,debit card,PENDING,45698.33638
257,78954,Mobile Money,Completed,45744.37106
258,123064,PAYPAL,Completed,45322.63915
259,270544,Credit Card,,45432.75649
260,285993,cr edit card,,44333.82336
261,157452,,,44198.51371
262,129651,Bank Transfer,,45013.8601
263,272217,Debit Card,Completed,45543.33791
264,53865,,failed,44671.39642
265,189256,pa ypal,,45956.64771
266,6831,Bank Transfer,Completed,45726.97237
267,204843,Credit Card,Pending,43866.95482
268,109198,Credit Card,Completed,45927.63782
269,155809,Mobile Money,failed,44977.69883
270,269758,ba nk transfer,Completed,45853.74092
271,43569,Debit Card,,44216.31491
272,166740,Debit Card,FA ILED,44964.01917
273,231688,CREDIT CARD,,44012.26772
274,175651,Bank Transfer,Failed,45203.3099
275,61270,CREDIT CARD,CO MPLETED,45057.53749
276,121153,Credit Card,FA ILED,45559.76726
277,213237,,,44439.63388
278,294373,Credit Card,FA ILED,45201.15698
279,163594,Bank Transfer,fa iled,44225.73711
280,217632,Mobile Money,CO MPLETED,45484.24983
281,166265,,,44713.9164
282,83481,Mobile Money,Failed,44334.8728
283,19098,Mobile Money,Pending,45404.99471
284,21444,Bank Transfer,PENDING,45712.54877
285,248014,Credit Card,Pending,45391.25224
286,207653,debit card,Pending,43884.77811
287,188288,Debit Card,Failed,45935.57449
288,153004,Debit Card,Failed,45616.72728
289,104220,MO BILE MONEY,,45990.43348
290,118585,Credit Card,CO MPLETED,44468.90235
291,80084,BANK TRANSFER,completed,45245.3727
292,4387,Bank Transfer,Failed,45449.22999
293,94519,Bank Transfer,Failed,45890.8705
294,234090,Credit Card,Completed,45151.95147
295,60183,DEBIT CARD,Pending,45777.05624
296,89289,PayPal,,45151.88145
297,178327,PayPal,,44447.0158
298,294173,Bank Transfer,,44282.59142
299,48096,PayPal,Failed,45181.16428
300,230093,Credit Card,pending,44397.06864
301,95247,Bank Transfer,,44795.49618
302,13467,Bank Transfer,FAILED,43928.66545
303,237959,bank transfer,Pending,45339.60542
304,88389,PayPal,COMPLETED,44919.90673
305,115481,,completed,44500.1565
306,88673,Credit Card,Completed,45037.84937
307,106582,paypal,Pending,45196.48577
308,167829,Credit Card,Failed,45813.4953
309,77647,MOBILE MONEY,Pending,44903.01849
310,107351,Bank Transfer,Completed,45039.72804
311,267632,mo bile money,,44074.05008
312,189619,,,44890.77325
313,134844,paypal,Pending,45906.80123
314,28166,PayPal,,45862.35002
315,180411,BANK TRANSFER,Failed,45457.70821
316,280850,bank transfer,Failed,44485.97604
317,49042,PayPal,Pending,45977.13757
318,243350,,Pending,45702.98403
319,211379,Mobile Money,Pending,45178.654
320,273177,Credit Card,COMPLETED,45173.28754
321,164889,,Failed,45872.95167
322,88088,Bank Transfer,,45531.06161
323,294085,cr edit card,,45507.46075
324,84459,mo bile money,,44413.96159
325,112812,Credit Card,Completed,44136.63755
326,196538,PA YPAL,Failed,44795.14512
327,163519,Debit Card,Pending,45092.25987
328,110895,,,44463.96448
329,108978,,,45844.69719
330,128358,Bank Transfer,Completed,45229.20811
331,38503,,Failed,45158.67435
332,216778,Mobile Money,,45962.06
333,249641,Credit Card,,45252.35918
334,123071,CREDIT CARD,Pending,44893.5573
335,233942,de bit card,,44951.58791
336,291785,Bank Transfer,,45797.22221
337,88463,PayPal,Completed,44387.40465
338,166611,mobile money,fa iled,44663.36117
339,251759,Mobile Money,Completed,45966.08367
340,174735,,,45270.31917
341,276541,,,45227.97721
342,76665,CR EDIT CARD,Pending,45993.97955
343,43423,Bank Transfer,Failed,45653.48294
344,294159,PA YPAL,,44394.1616
345,255378,Mobile Money,,45706.54727
346,12539,PayPal,,45734.11177
347,287795,PayPal,pending,45622.35499
348,88850,PayPal,Failed,44795.25627
349,5864,,Completed,44039.43814
350,184104,PayPal,Pending,45180.19826
351,155725,PayPal,Pending,45145.65287
352,293303,PayPal,CO MPLETED,44729.94218
353,67865,PayPal,Failed,45483.40269
354,276194,,failed,45168.52082
355,194516,mo bile money,Completed,43905.75847
356,91369,PayPal,PE NDING,45393.0206
357,11935,Bank Transfer,Completed,44189.6638
358,134409,PayPal,CO MPLETED,45501.05146
359,226206,,Failed,45624.19147
360,112698,,Failed,44356.51617
361,18602,ba nk transfer,Pending,45522.60084
362,233697,,Completed,45684.2981
363,169332,Debit Card,Failed,45929.0523
364,108290,Mobile Money,,45172.82662
365,267044,Bank Transfer,Completed,45639.87616
366,31085,Debit Card,FA ILED,44485.18709
367,23223,debit card,Failed,45443.92857
368,12586,Debit Card,Pending,44756.23222
369,269988,PayPal,Completed,45690.25215
370,133120,Bank Transfer,,45135.40852
371,236786,BA NK TRANSFER,Pending,44059.99707
372,239645,CR EDIT CARD,Completed,43992.54397
373,145378,,,44902.64895
374,140024,Bank Transfer,Failed,45030.62964
375,23283,Debit Card,Failed,45297.40049
376,274433,BANK TRANSFER,Completed,44295.5708
377,151313,Credit Card,,44943.13639
378,71741,Debit Card,,44201.55506
379,70831,debit card,Completed,45366.66806
380,66452,Mobile Money,Completed,45961.08108
381,246216,Credit Card,PENDING,45965.54143
382,78943,Credit Card,fa iled,45904.97922
383,48367,Mobile Money,Completed,45686.98377
384,52858,Bank Transfer,Failed,45044.02279
385,185968,Bank Transfer,Pending,45969.18277
386,151720,pa ypal,,45217.73759
387,289479,,Failed,44856.48363
388,143234,CREDIT CARD,Pending,45660.94915
389,168933,,,44655.91991
390,89200,Debit Card,,45889.81738
391,45672,Mobile Money,,45526.48513
392,49036,Debit Card,Completed,43906.87299
393,12573,Mobile Money,Pending,44790.22168
394,82438,MOBILE MONEY,Completed,45421.83678
395,95679,PayPal,Completed,44241.61753
396,82990,,,45255.1432
397,144933,PayPal,Completed,44583.32233
398,75363,PayPal,Failed,45051.64392
399,208133,Credit Card,,45174.23066
400,161675,Credit Card,Pending,44183.40042
401,220613,MO BILE MONEY,Completed,45893.73859
402,163256,Bank Transfer,Completed,45455.92226
403,151499,,,44989.21313
404,239599,de bit card,FA ILED,44363.22696
405,159328,pa ypal,Completed,44345.47157
406,48912,Bank Transfer,Pending,44293.41877
407,2641,Credit Card,Completed,44022.4471
408,113716,PayPal,Completed,44859.75694
409,257003,Debit Card,,44804.11052
410,212215,PayPal,,45717.73438
411,208686,Debit Card,,45247.56761
412,273726,Bank Transfer,Failed,45470.25821
413,286375,PayPal,Completed,45313.79277
414,159974,mo bile money,Failed,44270.53334
415,241366,Debit Card,co mpleted,44713.47839
416,263224,mo bile money,,45966.53602
417,76567,PA YPAL,Pending,44939.55563
418,52186,Bank Transfer,,44813.53866
419,150975,PayPal,,43954.20404
420,119244,Debit Card,fa iled,45256.9414
421,93046,,Pending,43875.04022
422,175122,Credit Card,Failed,44738.78544
423,138616,Credit Card,Pending,45340.13027
424,52987,PA YPAL,Failed,44796.79337
425,152993,,Failed,44109.77632
426,192053,Mobile Money,failed,45575.30221
427,260488,,,44414.4992
428,293005,DE BIT CARD,,45845.14422
429,70063,,Pending,44232.38931
430,44635,Debit Card,Completed,45471.68201
431,185599,Mobile Money,,44836.1859
432,76870,cr edit card,Completed,46000.03112
433,48606,pa ypal,fa iled,44330.02634
434,46410,Bank Transfer,Pending,45661.89135
435,271004,,Failed,45340.28535
436,209779,,Failed,45396.66479
437,7004,Bank Transfer,CO MPLETED,44692.09893
438,296199,Debit Card,,45438.14388
439,171968,Mobile Money,Pending,45127.88565
440,192831,ba nk transfer,PENDING,45023.40728
441,200888,Bank Transfer,,44432.08238
442,239986,,,44482.73959
443,81938,Bank Transfer,Failed,44524.5937
444,285209,Debit Card,FA ILED,44239.88633
445,276132,,Pending,44537.59992
446,215595,Bank Transfer,,45706.43681
447,31020,Credit Card,FA ILED,44556.91383
448,85282,BANK TRANSFER,failed,45142.18219
449,195693,Bank Transfer,Completed,45039.35065
450,144162,DEBIT CARD,Pending,45661.18528
451,242670,CREDIT CARD,Failed,45304.45768
452,91263,Bank Transfer,Failed,45685.70585
453,65140,de bit card,,44089.6148
454,162802,Bank Transfer,Failed,44049.90304
455,201394,PayPal,Pending,45594.18543
456,209543,Debit Card,,45624.16369
457,237530,Bank Transfer,,45088.08881
458,174720,PAYPAL,Failed,45141.42803
459,12773,debit card,Completed,44975.44387
460,105824,BANK TRANSFER,,43883.87374
461,8776,Mobile Money,Failed,45647.66458
462,175114,Debit Card,FAILED,44247.81743
463,175438,Credit Card,Pending,45064.47582
464,253554,,FAILED,45982.66278
465,227808,Credit Card,,44158.47384
466,22460,BA NK TRANSFER,Failed,45520.80324
467,287747,,fa iled,45724.32871
468,86762,Bank Transfer,Pending,45829.63085
469,165165,Credit Card,,45410.0678
470,251340,de bit card,Completed,43924.4426
471,265965,Debit Card,Completed,45227.68636
472,238155,,,45467.22134
473,79383,Bank Transfer,pe nding,45104.99626
474,39573,Credit Card,,45062.82388
475,291287,Credit Card,Pending,45328.08879
476,285443,Debit Card,FAILED,45320.27985
477,32148,Bank Transfer,Pending,46004.28749
478,86153,PayPal,,45844.10723
479,193346,MOBILE MONEY,,45194.2889
480,272859,credit card,Failed,45468.1238
481,167982,PayPal,Pending,44962.41112
482,131314,Bank Transfer,FAILED,44168.18873
483,162120,PayPal,FA ILED,45970.1228
484,36629,Bank Transfer,,44231.07761
485,194564,debit card,fa iled,44674.2314
486,294152,Debit Card,Failed,45573.88158
487,29573,Credit Card,Completed,44411.24222
488,166750,BA NK TRANSFER,Completed,44989.45437
489,291731,BANK TRANSFER,Completed,45884.22635
490,224783,,Completed,44064.70644
491,284111,,Pending,45031.37309
492,265045,Mobile Money,FAILED,45467.58524
493,67372,PayPal,,44231.86103
494,73573,CREDIT CARD,,44778.17471
495,282630,Mobile Money,Pending,44028.42315
496,26486,pa ypal,fa iled,45611.21159
497,252378,Credit Card,pending,45590.45885
498,223123,,Failed,45420.83436
499,195114,Mobile Money,Completed,43992.76478
500,22551,CR EDIT CARD,Completed,45004.36256
501,99876,Mobile Money,CO MPLETED,44079.2149
502,228406,Bank Transfer,,45263.32744
503,25036,Credit Card,Failed,44999.36566
504,25686,Debit Card,completed,45122.74194
505,277280,Mobile Money,Failed,45646.13876
506,84932,Mobile Money,,45742.28165
507,237590,Bank Transfer,FA ILED,45883.13041
508,117036,CREDIT CARD,,46016.64373
509,65843,Debit Card,,45221.70149
510,189584,Mobile Money,Failed,44558.02528
511,193933,,Failed,44038.85057
512,30009,Bank Transfer,Failed,45033.50412
513,8043,Credit Card,Pending,45831.79254
514,178522,BANK TRANSFER,failed,45474.87568
515,46575,Debit Card,,44540.53806
516,136568,Bank Transfer,FAILED,45807.38072
517,188321,Debit Card,Pending,44109.26745
518,200207,,Completed,45108.10568
519,221528,PayPal,co mpleted,43876.63912
520,227801,DE BIT CARD,completed,44578.92589
521,86850,Bank Transfer,Pending,45384.8851
522,212179,Credit Card,,44126.64106
523,267063,PayPal,,44069.69103
524,125076,Bank Transfer,FAILED,44816.79135
525,207667,paypal,Completed,44858.79641
526,119536,,pe nding,45280.08361
527,48196,credit card,pe nding,46010.39316
528,219701,,FAILED,44191.86503
529,243375,Mobile Money,Failed,45674.95163
530,45958,Debit Card,,45067.79048
531,26120,PayPal,Pending,45995.81684
532,207934,Mobile Money,PE NDING,45956.29867
533,272874,Mobile Money,Pending,44964.84386
534,57620,BA NK TRANSFER,Pending,43988.4699
535,288404,Bank Transfer,Failed,44596.57507
536,281315,PayPal,Pending,44261.93626
537,224952,Debit Card,COMPLETED,44408.8995
538,25271,ba nk transfer,Failed,45992.07649
539,158658,Mobile Money,Pending,44689.21377
540,20850,PayPal,Pending,45357.49828
541,86968,Mobile Money,Pending,45968.56377
542,216702,DEBIT CARD,FA ILED,44668.70642
543,33069,Mobile Money,Pending,44509.87026
544,153534,Bank Transfer,,44585.71573
545,64031,Debit Card,,44413.7108
546,170391,,Pending,44627.70362
547,13649,PayPal,,45303.37264
548,138541,Credit Card,Failed,44120.54047
549,47692,PayPal,Pending,44168.43206
550,206276,Credit Card,Pending,44359.29232
551,31283,CREDIT CARD,co mpleted,45450.42539
552,182630,CR EDIT CARD,Completed,45661.58488
553,72510,PayPal,,45197.52585
554,210999,Credit Card,Failed,45452.74992
555,236385,Mobile Money,,43932.34208
556,131234,Credit Card,,44890.06375
557,10081,Mobile Money,Pending,44131.1228
558,220141,Bank Transfer,Pending,44073.42572
559,207294,Debit Card,,45836.94505
560,83841,Mobile Money,,44128.72541
561,194725,Mobile Money,FA ILED,44680.83824
562,215126,Debit Card,pe nding,44382.79719
563,232638,DEBIT CARD,Pending,45638.75499
564,250698,Bank Transfer,Pending,45340.56658
565,256515,Mobile Money,Failed,45656.64228
566,129319,Mobile Money,Pending,44267.23475
567,43787,MO BILE MONEY,Completed,45635.44006
568,258007,Debit Card,,45383.52689
569,47325,Credit Card,Pending,45652.28188
570,157726,paypal,Pending,45170.21908
571,200960,pa ypal,,44695.68437
572,281274,Debit Card,,44983.85396
573,285479,Debit Card,co mpleted,44744.57656
574,79661,Mobile Money,Completed,44051.42255
575,117564,paypal,Failed,44855.17028
576,886,,Completed,44026.41905
577,230028,DE BIT CARD,COMPLETED,43878.24044
578,232580,Debit Card,Failed,44998.32633
579,240124,Mobile Money,PENDING,44890.24636
580,10376,credit card,Failed,44479.94569
581,211441,Mobile Money,Pending,45327.05801
582,94236,Credit Card,PENDING,45250.90006
583,55055,Credit Card,Completed,45375.07493
584,183894,PayPal,Pending,45606.89017
585,146345,PayPal,Completed,45053.2598
586,105724,PayPal,PE NDING,45208.31835
587,230539,PayPal,failed,44241.61851
588,228676,Bank Transfer,Failed,45133.5829
589,196982,CREDIT CARD,PE NDING,45527.80619
590,282144,Bank Transfer,Pending,44854.73116
591,159299,PAYPAL,FAILED,44035.73329
592,73354,,pe nding,45242.20342
593,252642,PayPal,Pending,45882.99379
594,121306,Debit Card,,44385.74033
595,221865,Bank Transfer,COMPLETED,44420.89128
596,205215,,Pending,45289.21962
597,252392,Debit Card,,45626.34862
598,145336,Mobile Money,,45454.46412
599,220190,Credit Card,CO MPLETED,44413.6489
600,275031,bank transfer,Pending,45333.07289
601,44443,Debit Card,,43984.16383
602,248953,PayPal,Failed,45600.89516
603,240725,Credit Card,Pending,44331.92062
604,165458,Mobile Money,Pending,45654.13619
605,138341,Mobile Money,Completed,45920.27693
606,124354,CR EDIT CARD,,45314.6737
607,125411,PayPal,,44535.40014
608,206327,credit card,Failed,45507.31096
609,262349,Credit Card,pe nding,44813.7629
610,248287,Mobile Money,Pending,43832.40931
611,32410,Debit Card,,45225.09976
612,239865,BANK TRANSFER,Completed,44960.06107
613,121197,Debit Card,Completed,44366.14374
614,47221,,fa iled,44241.28818
615,235347,bank transfer,FAILED,45431.95013
616,61128,Debit Card,COMPLETED,45349.20882
617,298723,DEBIT CARD,Failed,44800.48429
618,213615,Mobile Money,COMPLETED,45073.90192
619,253757,Credit Card,,44369.71803
620,112201,Debit Card,,44557.43787
621,168270,Mobile Money,PE NDING,43842.35587
622,21406,cr edit card,failed,44427.02531
623,282761,Bank Transfer,Completed,44423.15902
624,5183,Debit Card,,45658.16173
625,46221,PayPal,,44398.10562
626,148371,Mobile Money,Completed,45896.45637
627,103385,,Failed,44637.3248
628,234585,de bit card,PE NDING,45521.2244
629,40524,PayPal,,43840.16929
630,21587,PayPal,Completed,45169.01173
631,68597,Credit Card,fa iled,44859.29157
632,39245,Credit Card,Pending,44966.80084
633,198590,Debit Card,COMPLETED,43891.30855
634,108319,paypal,,44700.34338
635,87155,Mobile Money,,43868.26645
636,275226,,PENDING,45942.86016
637,226062,PayPal,,43982.6413
638,45222,PayPal,,45711.40974
639,14546,Credit Card,,44005.06293
640,270502,MOBILE MONEY,Failed,45545.64328
641,7327,,pe nding,45032.16476
642,184234,BANK TRANSFER,COMPLETED,44100.19514
643,8247,Credit Card,Completed,44546.31427
644,268260,CREDIT CARD,Pending,43866.78941
645,45147,PayPal,COMPLETED,45122.14534
646,183612,Credit Card,,44169.62587
647,137856,PayPal,CO MPLETED,43968.51573
648,253507,DEBIT CARD,CO MPLETED,45888.02219
649,294915,Bank Transfer,FA ILED,44198.26856
650,42157,Debit Card,,45543.5794
651,189033,,,45443.05144
652,132434,PayPal,,44812.67617
653,189800,PayPal,,44711.80398
654,154303,Mobile Money,Completed,44559.42542
655,204800,,completed,45139.77141
656,215969,Credit Card,Failed,44889.80848
657,236343,Debit Card,,44516.24659
658,124003,Credit Card,COMPLETED,43844.67289
659,127571,bank transfer,Completed,44804.43685
660,171491,Bank Transfer,FA ILED,44247.19804
661,146877,DEBIT CARD,fa iled,45119.94557
662,261583,cr edit card,Failed,44573.02707
663,133164,Bank Transfer,,45165.44859
664,282371,,,45654.1859
665,214153,credit card,,44186.12523
666,72180,paypal,,44630.48331
667,114779,Debit Card,Failed,45226.71395
668,55580,PayPal,completed,45325.05562
669,176760,paypal,,45257.43992
670,114580,MOBILE MONEY,Pending,44625.00199
671,60958,PayPal,,44518.29171
672,20641,PayPal,Failed,44678.49136
673,216889,debit card,Pending,45935.78598
674,193528,MO BILE MONEY,Failed,44428.81901
675,244250,,Failed,45971.58232
676,253528,MO BILE MONEY,,45012.58402
677,266356,Debit Card,Failed,45132.51855
678,34611,,,44192.55145
679,198630,PayPal,Completed,44456.30275
680,227767,DEBIT CARD,co mpleted,44798.882
681,125861,Credit Card,Pending,44893.48946
